offer_id;lat;lon;bfs_number;bfs_name
7324420;47.43437576293945;8.859333038330078;228;Turbenthal
7512768;46.85032653808594;7.200490951538086;2293;Düdingen
7512034;46.38659286499024;6.204861640930176;5716;Eysins
7512728;47.54240798950195;7.873130321502685;4263;Zeiningen
7490242;47.067474365234375;7.302119731903076;306;Lyss
7512188;47.19426345825195;8.712209701538086;1323;Wollerau
7512184;46.882598876953125;8.635674476623535;1201;Altdorf (UR)
7512142;46.96356201171875;7.459847927093506;351;Bern
7511265;47.51556396484375;7.69475793838501;2831;Pratteln
7511230;46.46551513671875;6.901701927185059;5892;Blonay - Saint-Légier
7511828;47.03250503540039;7.011710166931152;6451;Cornaux
7511730;47.32435989379883;8.146316528320312;4134;Dürrenäsch
7511638;47.39101028442383;8.747475624084473;172;Fehraltorf
7510626;47.671531677246094;9.068697929382324;4646;Ermatingen
7407798;46.00469207763672;8.961973190307617;5192;Lugano
7511040;47.41157531738281;8.527688026428223;261;Zürich
7452216;47.22242736816406;8.8408842086792;3340;Rapperswil-Jona
7355685;46.759037017822266;7.619719982147217;942;Thun
7509998;47.50523376464844;8.551369667053223;51;Bachenbülach
7450524;46.24260330200195;7.306580543518066;6023;Conthey
7487570;47.41009521484375;7.126341342926025;6784;Courgenay
7493778;47.70462417602539;8.805500984191895;2963;Ramsen
7467442;47.34682083129883;8.580924987792969;161;Zollikon
7427995;46.44197082519531;6.896000862121582;5886;Montreux
7510237;47.48398971557617;7.752282619476318;2829;Liestal
7510248;47.00352096557617;8.926657676696777;1632;Glarus
7510212;46.970733642578125;7.476161003112793;362;Ittigen
7509426;47.4129753112793;8.268455505371094;4033;Mellingen
7509715;47.27652359008789;8.837470054626465;113;Dürnten
7509404;46.78390884399414;8.157044410705566;1405;Lungern
7510150;47.43038940429688;8.34878921508789;4030;Killwangen
7510044;46.80977630615234;9.84455680847168;3851;Davos
7503206;47.50811767578125;8.698348999023438;230;Winterthur
7509999;47.24796676635742;8.462939262390137;9;Mettmenstetten
7510025;47.32483673095703;8.469918251037598;3;Bonstetten
7509956;47.51092147827149;7.543394088745117;2771;Oberwil (BL)
7509943;47.26927947998047;9.120625495910645;3352;Ebnat-Kappel
7305781;47.427371978759766;9.317054748535156;3442;Gaiserwald
7509887;46.186920166015625;6.122140884399414;6628;Lancy
7496116;47.20160675048828;7.5354084968566895;2601;Solothurn
7509768;47.25997924804688;8.598672866821289;295;Horgen
6900996;46.799903869628906;9.397051811218262;3723;Rhäzüns
7509758;46.44334030151367;6.887895584106445;5886;Montreux
6792037;47.27073287963867;8.65638542175293;156;Meilen
7509700;47.2882194519043;7.707026958465576;2407;Oensingen
7504402;47.19110870361328;8.702042579650879;1323;Wollerau
7416516;47.57933044433594;7.595460414886475;2701;Basel
7509669;46.462493896484375;6.349050521850586;5861;Rolle
7307922;47.00214385986328;7.270676612854004;309;Radelfingen
7509581;47.48414993286133;8.699139595031738;230;Winterthur
7509538;47.6457633972168;9.16115379333496;4671;Kreuzlingen
7509483;46.629180908203125;7.0597662925720215;2125;Bulle
6467415;47.12709045410156;8.245790481567383;1037;Rain
7421929;46.46651077270508;6.841388702392578;5890;Vevey
7509389;47.069583892822266;8.364933013916016;1051;Adligenswil
7509365;47.32169723510742;9.415101051330566;3112;Schwende-Rüte
7416895;46.20241165161133;6.156688213348389;6621;Genève
7509285;47.29946899414063;7.77032995223999;2405;Niederbuchsiten
7509188;46.51056671142578;6.556640148162842;5648;Saint-Sulpice (VD)
7509078;47.4998893737793;9.435410499572754;3217;Steinach
7508937;47.316062927246094;8.524923324584961;131;Adliswil
7508976;47.30225372314453;7.905200481414795;4282;Rothrist
7508913;47.352638244628906;7.962329387664795;2572;Däniken
7508873;46.46377182006836;6.2069268226623535;5702;Arzier-Le Muids
7508883;46.62423706054688;7.077680587768555;2125;Bulle
7508679;47.53224563598633;7.981865882873535;4161;Eiken
7508722;47.22211456298828;8.660393714904785;293;Wädenswil
7508434;47.39164352416992;8.48184871673584;261;Zürich
7063476;47.17507553100586;7.359205722808838;387;Lengnau (BE)
7498075;46.56378555297852;6.59220027923584;5586;Lausanne
7508206;46.772499084472656;7.577742099761963;944;Uetendorf
7261136;47.094425201416016;8.270522117614746;1040;Rothenburg
7507928;47.5635871887207;9.046104431152344;4881;Amlikon-Bissegg
7507847;47.49209976196289;8.555036544799805;72;Winkel
7507631;46.47667694091797;6.23431396484375;5731;Le Vaud
7507733;47.33238983154297;8.024931907653809;4276;Kölliken
7507655;47.53580093383789;8.74094009399414;227;Seuzach
7507500;47.18374252319336;7.979113578796387;1127;Egolzwil
7418259;47.29365158081055;7.727414131164551;2407;Oensingen
7428814;46.47600936889648;6.899766445159912;5892;Blonay - Saint-Légier
7506992;47.237403869628906;7.830101490020752;337;Roggwil (BE)
7415123;46.02381134033203;7.752415657043457;6300;Zermatt
7414508;46.53376770019531;6.540895938873291;5633;Echandens
7505473;47.15703582763672;9.479875564575195;3271;Buchs (SG)
7506527;47.39154815673828;8.69400691986084;199;Volketswil
7499124;47.28098678588867;7.924751281738281;4285;Strengelbach
7350961;46.20588302612305;6.1387457847595215;6621;Genève
7437502;47.238887786865234;8.82303237915039;3340;Rapperswil-Jona
7504609;47.03221130371094;8.399726867675781;1069;Weggis
7504056;47.34046173095703;8.400111198425293;4074;Oberwil-Lieli
7328089;47.32931518554688;8.80539608001709;121;Wetzikon (ZH)
7041639;46.90052795410156;7.550124168395996;623;Rubigen
7501967;47.58436965942383;8.139054298400879;4176;Schwaderloch
